Hostname;ServerFunction;Type;SubFunction;IPServer;InSID;ServerStatus;SiteCode;AdministratedBy;OSName;ToCollectInit;ToCollectLast
null;Application;null;null;10.197.128.36;null;Active;null;null;null;false;false
null;Application;null;null;10.67.108.12;null;Active;null;null;null;false;false
null;Application;null;null;10.35.99.9;null;Active;null;null;null;false;false
null;Application;null;null;10.181.128.12;null;Active;null;null;null;false;false
null;Application;null;null;10.104.224.80;null;Active;null;null;null;false;false
null;Application;null;null;10.67.104.12;null;Active;null;null;null;false;false
null;Application;null;null;10.163.131.12;null;Active;null;null;null;false;false
null;Application;null;null;10.115.64.2;null;Active;null;null;null;false;false
null;Application;null;null;10.235.148.26;null;Active;null;null;null;false;false
null;Application;null;null;10.115.22.204;null;Active;null;null;null;false;false
null;Application;null;null;10.35.128.12;null;Active;null;null;null;false;false
null;Application;null;null;10.23.144.34;null;Active;null;null;null;false;false
null;Application;null;null;10.164.24.242;null;Active;null;null;null;false;false
null;Application;null;null;10.160.5.66;null;Active;null;null;null;false;false
null;Application;null;null;10.200.2.70;null;Active;null;null;null;false;false
null;Application;null;null;10.81.129.201;null;Active;null;null;null;false;false
null;Application;null;null;10.236.137.51;null;Active;null;null;null;false;false
null;Application;null;null;10.92.2.44;null;Active;null;null;null;false;false
null;Application;null;null;10.209.32.6;null;Active;null;null;null;false;false
null;Application;null;null;10.144.36.61;null;Active;null;null;null;false;false
null;Application;null;null;10.114.37.130;null;Active;null;null;null;false;false
null;Application;null;null;10.18.0.151;null;Active;null;null;null;false;false
null;Utility;null;null;10.164.24.250;null;Active;null;null;null;false;false
null;Utility;null;null;10.184.129.72;null;Active;null;null;null;false;false
null;Utility;null;null;10.129.131.131;null;Active;null;null;null;false;false
null;Utility;null;null;10.99.200.163;null;Active;null;null;null;false;false
null;Utility;null;null;10.107.138.199;null;Active;null;null;null;false;false
null;Utility;null;null;10.67.106.22;null;Active;null;null;null;false;false
null;Utility;null;null;10.81.9.51;null;Active;null;null;null;false;false
null;Utility;null;null;10.218.10.74;null;Active;null;null;null;false;false
null;Utility;null;null;10.197.28.164;null;Active;null;null;null;false;false
null;Utility;null;null;10.172.17.1;null;Active;null;null;null;false;false
null;Utility;null;null;10.123.30.15;null;Active;null;null;null;false;false
null;Utility;null;null;10.122.144.19;null;Active;null;null;null;false;false
null;Utility;null;null;10.139.149.25;null;Active;null;null;null;false;false
null;Utility;null;null;10.123.139.13;null;Active;null;null;null;false;false
null;Utility;null;null;10.235.148.30;null;Active;null;null;null;false;false
null;Utility;null;null;10.200.3.41;null;Active;null;null;null;false;false
null;Utility;null;null;10.192.192.30;null;Active;null;null;null;false;false
null;Utility;null;null;10.172.16.95;null;Active;null;null;null;false;false
null;Utility;null;null;10.172.16.35;null;Active;null;null;null;false;false
null;Utility;null;null;10.99.146.33;null;Active;null;null;null;false;false
null;Utility;null;null;10.123.25.13;null;Active;null;null;null;false;false
null;Application;null;null;10.112.9.13;null;Active;null;null;null;false;false
null;Application;null;null;10.197.128.95;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.197.128.171;null;Active;null;null;null;false;false
sielb10094;Infrastructure;Physical;Not applicable;10.197.128.46;Yes;Active;ELB1;CSC;linux;true;false
null;Application;null;null;10.115.32.88;null;Active;null;null;null;false;false
null;Application;null;null;10.222.1.2;null;Active;null;null;null;false;false
null;Utility;null;null;10.222.2.5;null;Active;null;null;null;false;false
