Site code;Site name;Country code;Scenario today
MRM1;Montcada y Reixac (MRM1);ES;STAY
MRS1;Marseille (MRS1);FR;ENERGY
MSV1;Maasvlakte (MSV1);NL;ENERGY
MSY1;Massy (MSY1);FR;MOVE AT
MSY2;Massy (Campus) (MSY2);FR;TBD - To be defined
MSY3;Massy (PTR) (MSY3);FR;ENERGY
MTH1;Ain Beni Mathar (MTH1);MA;ENERGY
MTL1;Maitland (workshop) (MTL1);AU;ENERGY
MTO1;Mataro (MTO1);ES;STAY
MTR1;Montreal (MTR1);CA;TBD - To be defined
MTR4;Montreal (1050 Beaver Hall) (MTR4);CA;STAY
MTR5;Termobahia (BA) (MTR5);BR;ENERGY
MTR6;Montreal (8845 Saint-Laurent) (MTR6);CA;STAY
MTR7;Montreal (1080 Beaver Hall) (MTR7);CA;STAY
MTX1;Saint-Nazaire (Montoir) (MTX1);FR;ENERGY
MTY1;Manuel Barragan (Monterrey City) (MTY1);MX;STAY
MTY2;Huinala (Monterrey City) (MTY2);MX;ENERGY
MTY3;Cienega (Monterrey City) (MTY3);MX;ENERGY
MTY4;Pesqueria (Monterrey City) (MTY4);MX;ENERGY
MTY5;Monterrey Linea 3 (MTY5);MX;STAY
MUC1;Muenchen (MUC1);DE;TBD - To be defined
MUH1;Muehlheim an der Ruhr (MUH1);DE;ENERGY
MUI1;Muizen (MUI1);BE;ENERGY
MUN3;Tuen Mun (MUN3);HK;ENERGY
MVD1;Montevideo (MVD1);UY;ENERGY
MYM1;Mery (Hexapole) (MYM1);FR;ENERGY
MYQ1;Mysore (MYQ1);IN;ENERGY
MZM1;Metz (Regiolis) (MZM1);FR;STAY
NAG1;Nagpur (NAG1);IN;ENERGY
NAG3;Mouda (Nagpur) (NAG3);IN;ENERGY
NAP1;Napoli (NAP1);IT;STAY
NAR1;Narva (NAR1);EE;ENERGY
NAR3;Narva Power Plant (NAR3);EE;ENERGY
NBO1;Nairobi (NBO1);KE;ENERGY
NCD1;New Castle (DE) (NCD1);US;STAY
NCL1;Newcastle-Upon-Tyne (NCL1);GB;ENERGY
NDA1;Noida (NDA1);IN;MOVE AT
NDA2;Noida (Lotus Valley) (NDA2);IN;ENERGY
NDA3;Noida (Sector 65) (NDA3);IN;ENERGY
NDA4;Noida (Sector 63) (NDA4);IN;ENERGY
NDA5;CSC Noida (NDA5);IN;ENERGY
NEH1;Neuhausen am Rheinfall (NEH1);CH;STAY
NEV1;Nevoy (C. Nucleaire) (NEV1);FR;ENERGY
NKG1;Nanjing (Xiaohang) (NKG1);CN;STAY
NKG3;Nanjing (Qixia) (NKG3);CN;STAY
NKG5;Nanjing (Loco Depot) (NKG5);CN;STAY
NMA1;Neumark (NMA1);DE;ENERGY
NML1;Novate Milanese (NML1);IT;STAY
NOG1;Nogent (C. Nucleaire) (NOG1);FR;ENERGY
NOL1;Nola (NOL1);IT;STAY
NPV2;Naperville (Fisher Rd) (IL) (NPV2);US;ENERGY
NPV3;Naperville (Frontenac Rd) (IL) (NPV3);US;STAY
NRE1;North Ryde (NRE1);AU;SPLIT
NRK1;Norrkoping (NRK1);SE;ENERGY
NSJ1;Nassjo (NSJ1);SE;ENERGY
NTE1;Nantes (Insula) (NTE1);FR;ENERGY
NTE2;Nantes (Hall 8 - Arthur) (NTE2);FR;ENERGY
NTG1;Nottingham (Depot) (NTG1);GB;STAY
NTG5;Beeston (NTG5);GB;TBD - To be defined
NTG8;Nottingham (Stoney) (NTG8);GB;STAY
NUE1;Nuernberg (NUE1);DE;ENERGY
NUT1;Staythorpe (NUT1);GB;ENERGY
NVP1;Noventa di Piave (NVP1);IT;ENERGY
NVR1;Novara (NVR1);IT;STAY
NVV1;Bunuel (NVV1);ES;ENERGY
NWK1;CSC Newark (NWK1);US;ENERGY
NWS-ANK3;Move new site (name to be confirmed);TR;MOVE AT - New site
NWS-BAK1;Move new site (name to be confirmed);AZ;MOVE AT - New site
NWS-CAS3;Move new site (name to be confirmed);MA;MOVE AT - New site
NWS-HAN1;Move new site (name to be confirmed);VN;MOVE AT - New site
NWS-NDA1;Move new site (name to be confirmed);IN;MOVE AT - New site
NWS-PER1;Move new site (name to be confirmed);AU;MOVE AT - New site
NWS-SCL1;Move new site (name to be confirmed);CL;MOVE AT - New site
NWS-SHA1;Move new site (name to be confirmed);CN;MOVE AT - New site
NWS-SIG1;Move new site (name to be confirmed);KR;MOVE AT - New site
NWS-TPE1;Move new site (name to be confirmed);TW;TBD - To be defined
NWS-TUN1;Move new site (name to be confirmed);TN;MOVE AT - New site
NWS-USK2;Move new site (name to be confirmed);TR;MOVE AT - New site
NWS-WND1;Move new site (name to be confirmed);US;MOVE AT - New site
NYC1;New York (NY) (NYC1);US;STAY
OEO1;El Sauz (OEO1);MX;ENERGY
OFE1;Oberentfelden (OFE1);CH;ENERGY
OGP1;Oolgensplaat (OGP1);NL;TBD - To be defined
OGX1;Ouargla (OGX1);DZ;STAY
OKL1;Okoloma (AFAM VI) (OKL1);NG;ENERGY
ONS1;Ornans (ONS1);FR;STAY
OPO1;Opole (OPO1);PL;ENERGY
ORN2;Oran (tramway) (ORN2);DZ;STAY
ORR1;Orleans (Champ Manoeuvre) (ORR1);FR;STAY
ORR2;Orleans (Av. H™pital) (ORR2);FR;STAY
OSK1;Oskarshamn (OKG) (OSK1);SE;ENERGY
OSL1;Oslo (OSL1);NO;SPLIT
OST1;Oostende (OST1);BE;ENERGY
OTT1;Ottawa (OTT1);CA;ENERGY
OTT3;Ottawa MSF (OTT3);CA;TBD - To be defined
OUS1;Saint-Ouen (OUS1);FR;STAY
OUS2;Saint-Ouen (Ardouin) (OUS2);FR;STAY
OUS5;Saint-Ouen (ED10) (OUS5);FR;STAY
PAC1;El Castre (PAC1);ES;ENERGY
PAI1;Paiania (PAI1);GR;STAY
PAI2;Paiton (PAI2);ID;ENERGY
PAR1;Metrolab (PAR1);FR;STAY
PAR2;Paris (Charenton) (PAR2);FR;TBD - To be defined
PAR3;Paris (Charonne) (PAR3);FR;STAY
PBC1;Perote (Los Humeros) (PBC1);MX;ENERGY
PBF1;Le Carnet (PBF1);FR;ENERGY
PEM1;Pembroke (Power Station) (PEM1);GB;ENERGY
PER1;Perth (Plain St) (PER1);AU;MOVE AT
PHD1;Peterhead (PHD1);GB;ENERGY
PHG1;Pasching (PHG1);AT;ENERGY
PHL1;Philadelphia (PA) (PHL1);US;ENERGY
PHX4;Phoenix (11th Ave) (AZ) (PHX4);US;ENERGY
PIT5;Pitea (PIT5);SE;ENERGY
PIZ1;Peitz (PIZ1);DE;ENERGY
PKG1;Port Kelang (PKG1);MY;ENERGY
PLD2;CSC Paris (PLD2);FR;ENERGY
PLY1;Plymouth (Langage) (PLY1);GB;ENERGY
PMY1;Puerto Madryn (PMY1);AR;ENERGY
PNC1;Polaniec (PNC1);PL;ENERGY
PNQ1;Pune (PNQ1);IN;ENERGY
PNQ2;Pune (Shape) (PNQ2);IN;ENERGY
PNQ3;Pune (Infosys) (PNQ3);IN;TBD - To be defined
POW1;Tanjung Bin (POW1);MY;ENERGY
POZ1;Poznan (POZ1);PL;ENERGY
PRE1;Preston (PRE1);GB;STAY
PRE2;Preston TCP (PRE2);GB;STAY
PRG1;Praha (PRG1);CZ;ENERGY
PRR1;Pierrelatte (PRR1);FR;TBD - To be defined
PSE1;Pescate (PSE1);IT;STAY
PTA1;Puente Alto (PTA1);CL;STAY
PTB1;Port Talbot (PTB1);GB;ENERGY
PTF1;Petite-Foret (Valenciennes) (PTF1);FR;STAY
PTQ1;Petit-Quevilly (PTQ1);FR;STAY
PTS1;Shoreham (PTS1);GB;ENERGY
PTU1;Pertuis (PTU1);FR;ENERGY
PTY1;Panama (PTY1);PA;STAY
PTY2;Panama (Calle Curundu) (PTY2);PA;STAY
PTY3;Panama (av. Villalaz) (PTY3);PA;STAY
PUG2;Jakarta (Unindo) (PUG2);ID;ENERGY
PVD1;Providence (PVD1);US;TBD - To be defined
PYR1;Pyrmont (PYR1);AU;STAY
QCC2;Camacari (BA) (QCC2);BR;ENERGY
QDQ1;TermoRio (RJ) (QDQ1);BR;ENERGY
QHP1;Taubate (SP) (QHP1);BR;SPLIT
QNS1;Canoas (QNS1);BR;TBD - To be defined
QXB1;Aix-en-Provence (QXB1);FR;STAY
RAA1;Raahe (Brahestad) (RAA1);FI;ENERGY
RAB1;Rabigh (RAB1);SA;ENERGY
RBA2;Rabat (Hassan) (RBA2);MA;STAY
RBC1;Richmond (RBC1);CA;ENERGY
RDL1;Radlett (RDL1);GB;STAY
RDO1;Faro Farelo (RDO1);ES;ENERGY
RDO2;Faro Mantenimiento (RDO2);ES;ENERGY
REI1;Reichshoffen (REI1);FR;STAY
REL1;Relizane (REL1);DZ;ENERGY
RER1;Redcar (RER1);GB;TBD - To be defined
RFO1;Cottam (RFO1);GB;ENERGY
RGN1;Yangon (RGN1);MM;ENERGY
RGW1;Rogowiec (Belchatow II) (RGW1);PL;ENERGY
RGW2;Rogowiec (Belchatow) (RGW2);PL;ENERGY
RHE1;Reims (RHE1);FR;STAY
RIC2;Richmond - Willis Road (VA) (RIC2);US;ENERGY
RIC3;Richmond - 1801 Willis Road (VA) (RIC3);US;ENERGY
RIC4;Richmond - Arboretum (VA) (RIC4);US;ENERGY
RIC5;Richmond - Boulders (VA) (RIC5);US;ENERGY
RID1;Ridderkerk (RID1);NL;STAY
RIG1;Senandes (RIG1);BR;ENERGY
RIO1;Rio de Janeiro (RJ) - Presidente Wilson (RIO1);BR;STAY
RIO2;Rio de Janeiro (RJ) - TKCSA (RIO2);BR;ENERGY
RIU1;Rubi (RIU1);ES;STAY
RIX2;Riga (Krustpils St) (RIX2);LV;MOVE AT
ROA1;Pehimo (ROA1);ES;ENERGY
ROC1;Rochester (NY) (ROC1);US;STAY
ROM1;Roma (ROM1);IT;STAY
ROM3;Roma (Villa Spada) (ROM3);IT;STAY
ROM4;Roma (Scalo San Lorenzo) (ROM4);IT;STAY
RSK1;Rostock (RSK1);DE;ENERGY
RSK2;Rostock (Werftallee) (RSK2);DE;ENERGY
RUG1;Rugby (Willans Works) (RUG1);GB;MOVE AT
RUH1;Riyadh (RUH1);SA;ENERGY
RUH3;Riyadh (Metro Project Office) (RUH3);SA;STAY
RUN1;Runcorn (RUN1);GB;ENERGY
RUN2;Rocksavage (RUN2);GB;ENERGY
RYB1;Rybnik (RYB1);PL;ENERGY
RYS1;Rijswijk (RYS1);NL;SPLIT
SAA1;Sanand (SAA1);IN;ENERGY
SAD1;Sant Adria (Tram) (SAD1);ES;STAY
SAD2;Sant Adria (CTCC Besos) (SAD2);ES;ENERGY
SAF1;Kuwait (Sharq) (SAF1);KW;ENERGY
SAK1;Saskatoon (SAK1);CA;ENERGY
SAO1;Lapa - Sao Paulo (SP) (SAO1);BR;STAY
SAO2;Bandeirantes - Sao Paulo (SP) (SAO2);BR;SPLIT
SAO3;Agua Branca (SP) (SAO3);BR;ENERGY
SAO4;Sao Paolo (Shape) (SAO4);BR;TBD - To be defined
SAOa;Sao Paulo (ADP Systems) (SAOa);BR;TBD - To be defined
SAOn;Sao Paulo (Nemo) (SAOn);BR;TBD - To be defined
SAR1;Salzgitter (SAR1);DE;STAY
SAR2;Salzgitter (Huettenstrasse) (SAR2);DE;STAY
SAR3;Salzgitter (Watenstedterstrasse) (SAR3);DE;STAY
SAV1;Savigliano (SAV1);IT;STAY
SBG1;Sarrebourg (SBG1);FR;STAY
SCG1;Santa Coloma de Gramanet (Can Zam L9) (SCG1);ES;STAY
SCL1;Santiago (Las Condes) (SCL1);CL;MOVE AT
SCL2;Santiago (Neptuno) (SCL2);CL;STAY
SCL4;Lorena (SCL4);CL;STAY
SCL6;Santiago (Ascotan) (SCL6);CL;ENERGY
SDL1;Sundsvall (SDL1);SE;ENERGY
SEM1;Simpang Empat (SEM1);MY;ENERGY
SET1;Setubal (SET1);PT;ENERGY
SET2;Setif (SET2);DZ;STAY
SFG1;Montegut La Lande (SFG1);FR;ENERGY
SFG2;Montegut Le Bois (SFG2);FR;ENERGY
SFT1;Skelleftea (SFT1);SE;ENERGY
SFW1;Schofield (WI) (SFW1);US;ENERGY
SGC1;Surgut (SGC1);RU;ENERGY
SGN4;Ho Chi Minh City (Vincom) (SGN4);VN;ENERGY
SHA1;Shanghai (Xuhui) (SHA1);CN;MOVE AT
SHA2;Shanghai (Xinzhuang) (SHA2);CN;STAY
SHA3;Shanghai (Jinshan) (SHA3);CN;ENERGY
SHA4;Shanghai (Minhang) (SHA4);CN;STAY
SHA5;Shanghai (Zhabei) (SHA5);CN;STAY
SHA7;Shanghai (Jiang Yue Rd) (SHA7);CN;ENERGY
SHAA;Shanghai (Hutai Rd) (SHAA);CN;ENERGY
SHAI;Shanghai (Zhongshan W. Rd) (SHAI);CN;ENERGY
SHAJ;Shanghai (Wuzhong Rd) (SHAJ);CN;STAY
SHAK;Shanghai (Shenguang) (SHAK);CN;STAY
SHAL;Shanghai (Beidi) (SHAL);CN;STAY
SHD1;Shahabad (SHD1);IN;ENERGY
SHJ3;Sharjah (SAIF Zone) (SHJ3);AE;ENERGY
SIA1;Xi (SIA1);CN;STAY
SIG1;Seoul (SIG1);KR;MOVE AT
SIN1;Singapore (HQ) (SIN1);SG;MOVE AT
SIN2;Singapore (Starhub green) (SIN2);SG;STAY
SIN4;Singapore (Kim Chuan) (SIN4);SG;STAY
SIN6;Singapore (Kaki Bukit) (SIN6);SG;ENERGY
SINA;Singapore (Tuas Depot) (SINA);SG;STAY
SINB;Singapore (Senkang Depot) (SINB);SG;STAY
SINC;Saintes (Regiolis) (SINC);FR;STAY
SIND;Singapore (Labrador Park) (SIND);SG;MOVE AT - New site
SIT1;Sitges (SIT1);ES;STAY
SJC1;San Jose (CA) (SJC1);US;ENERGY
SJF2;St John's (Torbay Rd) (SJF2);CA;ENERGY
SJO1;Sant Joan Despi (SJO1);ES;STAY
SJR1;Saint Jean sur Richelieu (SJR1);CA;ENERGY
SKH1;Stokenchurch (SKH1);GB;ENERGY
SLM1;Salamonde (SLM1);PT;ENERGY
SLN1;Solna (Strandvagen) (SLN1);SE;ENERGY
SMG1;Santiago (San Miguel) (SMG1);CL;STAY
SOE1;Sodertalje (SOE1);SE;STAY
SOF1;Sofia (SOF1);BG;ENERGY
SOL1;Solapur (SOL1);IN;ENERGY
SPD1;Saint-Pierre des Corps (SPD1);FR;STAY
SPI1;Piratininga (SP) (SPI1);BR;ENERGY
SPK1;Sapporo (SPK1);JP;ENERGY
SPK2;Sapporo (OAK) (SPK2);JP;ENERGY
SPM1;Santa Perpetua de Moguda (SPM1);ES;STAY
SRD1;Stafford (Lichfield Road - Power) (SRD1);GB;ENERGY
SRD2;Stafford (St Leonards) (SRD2);GB;TBD - To be defined
SRD3;Stafford (Lichfield Road - Grid) (SRD3);GB;ENERGY
SRD4;Stafford (Glover Street) (SRD4);GB;ENERGY
SRG1;Suratgarh (SRG1);IN;ENERGY
SRQ1;San Roque (SRQ1);ES;ENERGY
SSG1;Sesto San Giovanni (Tomaso Edison) (SSG1);IT;TBD - To be defined
SSG2;Sesto San Giovanni F.Ardeatine (SSG2);IT;SPLIT
SSG3;Sesto San Giovanni (Via Trento) (SSG3);IT;ENERGY
STD1;St Denis (STD1);FR;ENERGY
STJ1;Sostanj (STJ1);SI;ENERGY
STO1;Stockholm (STO1);SE;STAY
STQ1;Stendal (STQ1);DE;STAY
STR1;Stuttgart (Augsburger Strasse) (STR1);DE;ENERGY
STR4;Stuttgart (Zettachring) (STR4);DE;ENERGY
SUB1;Surabaya (SUB1);ID;ENERGY
SUH1;Surrey Hills (SUH1);AU;STAY
SVQ1;Sevilla (SVQ1);ES;STAY
SWT1;Stow (OH) (SWT1);US;ENERGY
SWT2;Swietochlowice (Delta) (SWT2);PL;STAY
SYD1;Sydney (Eveleigh) (SYD1);AU;STAY
SZB1;Sizewell B (SZB1);GB;ENERGY
SZH1;Suzhou (SZH1);CN;ENERGY
SZH2;Suzhou (Songshan Road) (SZH2);CN;ENERGY
SZR1;Stara Zagora (Maritza plant) (SZR1);BG;ENERGY
SZX1;Shenzhen (Nanshan) (SZX1);CN;ENERGY
SZX2;Shenzhen (Futian) (SZX2);CN;TBD - To be defined
SZX3;Shenzhen (Daya Bay) (SZX3);CN;ENERGY
TAB1;Semeac (Tarbes) (TAB1);FR;STAY
TAO2;Qingdao (Dispen JV) (TAO2);CN;STAY
TAR1;Tarragona (TAR1);ES;TBD - To be defined
TAS1;Tashkent (Shota Rustaveli St) (TAS1);UZ;STAY
TAS2;Tashkent (Usman Nasir St) (TAS2);UZ;ENERGY
TAS3;Sri City (TAS3);IN;STAY
TBK1;Taebaek (TBK1);KR;TBD - To be defined
TBS1;Tbilisi (Chavchavadze Av.) (TBS1);GE;ENERGY
TCIn;Tenerife (Nemo) (TCIn);ES;ENERGY
TEF2;Telford (Ironbridge) (TEF2);GB;ENERGY
TGI1;Turgi (TGI1);CH;ENERGY
THR1;Tehran (THR1);IR;ENERGY
TIP2;Tripoli (Hay Al Andalus) (TIP2);LY;ENERGY
TKU1;Turku (TKU1);FI;STAY
TLC1;Toluca (TLC1);MX;TBD - To be defined
TLL1;Tallinn (TLL1);EE;ENERGY
TLS2;Toulouse (TLS2);FR;TBD - To be defined
TLV1;Tel Aviv (TLV1);IL;ENERGY
TMP1;Tampere (TMP1);FI;ENERGY
TMP3;Tampere (Vehmaistenkatu) (TMP3);FI;ENERGY
TOR2;Toronto (Bay St.) (TOR2);CA;STAY
TPE1;Taipei Neihu (TPE1);TW;SPLIT
TPE3;Taipei Songxin (TPE3);TW;STAY
TPE7;Taipei KAC (TPE7);TW;STAY
TRA1;Trapaga (Galindo) (TRA1);ES;ENERGY
TRA2;Trapaga (Thermal) (TRA2);ES;TBD - To be defined
TRC1;Tracy (TRC1);CA;SPLIT
TRF2;Aerosur (TRF2);ES;ENERGY
TRI1;Tricastin (C. Nucleaire) (TRI1);FR;ENERGY
TRT1;Trento (TRT1);IT;STAY
TSN2;Tianjin (Jingsan Rd) (TSN2);CN;ENERGY
TSN3;Tianjin (Mobile Workshop) (TSN3);CN;ENERGY
TUD2;Montes de Cierzo (TUD2);ES;ENERGY
TUD3;Tudela (TUD3);ES;ENERGY
TUN1;Tunis (Berges du Lac HQ) (TUN1);TN;MOVE AT
TUN5;Tunis (Berges du Lac) (TUN5);TN;ENERGY
TUN6;Tunis (Marine) (TUN6);TN;STAY
TVB1;Tronville en Barrois (Caesar B) (TVB1);FR;STAY
TYN1;Haifu (TYN1);TW;ENERGY
TYO1;Tokyo (TYO1);JP;TBD - To be defined
TYO2;Tokyo (OAK) (TYO2);JP;ENERGY
TYO3;CSC Tokyo (TYO3);JP;ENERGY
TYR1;Tyler (TX) (TYR1);US;ENERGY
TYS1;Knoxville (TN) (TYS1);US;ENERGY
TYS2;Knoxville (Cogdill Rd) (TN) (TYS2);US;ENERGY
UFA1;Ufa (UFA1);RU;ENERGY
UIG1;Guidonia (UIG1);IT;STAY
UIL1;Le Rochereau (UIL1);FR;ENERGY
UJK2;Greensburg (Broad St) (PA) (UJK2);US;ENERGY
UKB1;Kobe (UKB1);JP;ENERGY
UKB2;Kobe (Nishi-Ku) (UKB2);JP;ENERGY
UKB3;Kobe (Harborland Center Building) (UKB3);JP;TBD - To be defined
UME1;Umea (UME1);SE;STAY
UND1;Secunderabad (UND1);IN;ENERGY
UPL1;Upplands Bro (UPL1);SE;STAY
URD1;CSC Urdorf (URD1);CH;ENERGY
USK2;Uskudar (Tophanelioglu) (USK2);TR;MOVE AT
USK3;Uskudar (Kisikli) (USK3);TR;STAY
USL1;Muenchen (Unterschleissheim) (USL1);DE;ENERGY
UTC1;Utrecht (UTC1);NL;STAY
UZA1;Muzillac (UZA1);FR;ENERGY
VAT1;Vantaa (VAT1);FI;MOVE AT
VBC1;Varobacka (VBC1);SE;ENERGY
VBN1;Villeurbanne (VBN1);FR;STAY
VBN2;Villeurbanne (Blum) (VBN2);FR;TBD - To be defined
VBN4;Villeurbanne (8 mai 1945) (VBN4);FR;ENERGY
VBN6;Villeurbanne (Epsilon) (VBN6);FR;STAY
VDY1;Ramonville Saint-Agne (VDY1);FR;ENERGY
VER1;Tierra Blanca City (VER1);MX;STAY
VER2;Verviers (VER2);BE;ENERGY
VER3;Veracruz (Laguna Verde) (VER3);MX;ENERGY
VES2;Villa El Salvador (VES2);PE;STAY
VIE1;Wien (VIE1);AT;TBD - To be defined
VIN1;Vinhedo (VIN1);BR;ENERGY
VIT1;Vitrolles (VIT1);FR;STAY
VLG2;Vilanova Exposicion (VLG2);ES;STAY
VLO1;Vallejo (Mare Island) (CA) (VLO1);US;STAY
VLO2;Vallejo (Wallnut avenue) (VLO2);US;TBD - To be defined
VNO2;Vilnius (Lvovo 25) (VNO2);LT;ENERGY
VSG1;Villeneuve-Saint-Georges (TGV) (VSG1);FR;STAY
VST1;Vasteras (VST1);SE;TBD - To be defined
VST2;Vasteras (Tillberga) (VST2);SE;STAY
VST3;Vasteras (Kolgatan) (VST3);SE;STAY
VUT1;Vung Tau (VUT1);VN;ENERGY
VXO1;Vaxjo (VXO1);SE;ENERGY
WAS1;Washington (DC) (WAS1);US;STAY
WAS2;Washington - Pennsylvania Ave (DC) (WAS2);US;ENERGY
WAW1;Warsaw (WAW1);PL;ENERGY
WAW2;Warsaw (E. Plater 53) (WAW2);PL;STAY
WAW3;Warsaw (Pendolino depot) (WAW3);PL;STAY
WBA2;Wabamun (Sundance plant) (WBA2);CA;ENERGY
WBD2;Wimbledon Traincare Depot (WBD2);GB;STAY
WBG1;Warburg (WBG1);CA;ENERGY
WBU1;Boulder (CO) (WBU1);US;ENERGY
WBY1;Wembley (WBY1);GB;STAY
WHI1;Aghada (WHI1);IE;ENERGY
WIB1;Wiesbaden (WIB1);DE;ENERGY
WIB2;CSC Wiesbaden (WIB2);DE;ENERGY
WIT1;Witbank (Kusile plant) (WIT1);ZA;ENERGY
WND1;Windsor (Addison Rd) (CT) (WND1);US;MOVE AT
WND3;Windsor (Prospect Hill Rd) (CT) (WND3);US;ENERGY
WND4;Windsor (Day Hill Rd) (WND4);US;ENERGY
WOL1;Wollongong (Tallawarra plant) (WOL1);AU;ENERGY
WOR1;Robin Rigg (WOR1);GB;ENERGY
WOV1;Wolverhampton (WOV1);GB;STAY
WRN1;Warrington (WRN1);GB;ENERGY
WRN2;Fiddlers Ferry (WRN2);GB;ENERGY
WRO1;Wroclaw (WRO1);PL;ENERGY
WTW1;Newcastle (WTW1);GB;ENERGY
WUH1;Wuhan (Miaoshan) (WUH1);CN;ENERGY
WUH2;Wuhan (Wanda Center) (WUH2);CN;ENERGY
WUH4;Wuhan (Hanshi Rd) (WUH4);CN;ENERGY
WUX2;Wuxi (1 LuOu Rd) (WUX2);CN;ENERGY
WXD1;Wexford (PA) (WXD1);US;ENERGY
WYG1;Waynesboro (GA) (WYG1);US;ENERGY
WZH1;Walbrzych (WZH1);PL;ENERGY
XAL1;Xalapa City (XAL1);MX;STAY
XGS1;Huntersville (NC) (XGS1);US;ENERGY
XHO1;Long Island (NY) (XHO1);US;STAY
XLC1;Redmond (WA) (XLC1);US;ENERGY
XMN1;Xiamen (XMN1);CN;ENERGY
XWV1;Warrenville (IL) (XWV1);US;ENERGY
ZAB1;Coruxeiras (ZAB1);ES;ENERGY
ZAD1;Erkner (ZAD1);DE;ENERGY
ZAG1;Zagreb (ZAG1);HR;MOVE AT
ZAG2;Zagreb (New Transport) (ZAG2);HR;MOVE AT - New site
ZKZ1;Vevey (ZKZ1);CH;ENERGY
ZNW1;Mora d'Ebre (ZNW1);ES;ENERGY
ZOI1;Charleroi (PA) (ZOI1);US;ENERGY
ZPT2;Castel di Judica (ZPT2);IT;ENERGY
ZRP1;Saint-Priest (ZRP1);FR;ENERGY
ZRP4;Saint-Priest (Jacques Monod) (ZRP4);FR;ENERGY
